id,sr_no,date,title,pdf_link,pdf_filename,file_size,created_at
fabcc3867c82a07cd1ba8b2805f7d5a9f2cebfe3,1,April 8th 2025,Union Bank of India Order in original No. 01/DIR/FIU-IND/2025  u/s  Section 13,https://fiuindia.gov.in/pdfs/judgements/UBI_Order_1_2025.pdf,UBI_Order_1_2025.pdf,85KB,2025-12-15T10:34:39.807881
85891fd4c210d5be2b0a0830001dfe252004a887,1,"March 6th, 2024",Coinbase India Private Limited Order in original No. 16/DIR/FIU-IND/2024 u/s Section 13,https://fiuindia.gov.in/pdfs/judgements/Coinbase_Order_16_2024.pdf,Coinbase_Order_16_2024.pdf,407KB,2025-12-15T10:34:39.808053
bf197e849a8c90491f711d4b4b8b0c8a8ae1c1dd,2,"January 31st, 2024",Bybit Fintech Limited Order in original No. 15/DIR/FIU-IND/2024 u/s Section 13,https://fiuindia.gov.in/pdfs/judgements/Bybit_Order_15_2024.pdf,Bybit_Order_15_2024.pdf,452KB,2025-12-15T10:34:39.808179
69f663484bcf2bbda7124ca7af2f0e64edee7946,3,"December 31st, 2024","Bonanza Portfolio Limited u/s Section 13,Order-in-Original No. 14/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/BPL_Order_14_2024.pdf,BPL_Order_14_2024.pdf,616KB,2025-12-15T10:34:39.808257
3b40b23d61f1a04104c61eb723884d4a26cdb799,4,"October 1st, 2024","Union Bank of India,Order-in-Original No. 13/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/UBI_Order_13_2024.pdf,UBI_Order_13_2024.pdf,1149KB,2025-12-15T10:34:39.808331
33a16b0c63f77ccd02dfb35668596948dbd266c4,5,"May 15th, 2024","Earthstone Holding (Two) Pvt Ltd.,Order-in-Original No. 12/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/EHTPL_Order_12_2024.pdf,EHTPL_Order_12_2024.pdf,76KB,2025-12-15T10:34:39.808411
d17c6cbc7e2dc3246b0e3fd10997ca12c5a86a8a,6,"May 14th, 2024","Cholamandalam Financial Holdings Ltd.,Order-in-Original No. 11/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/CFHL_Order_11_2024.pdf,CFHL_Order_11_2024.pdf,74KB,2025-12-15T10:34:39.808482
e70bf63645f546191fa860af00cdefe6578cfba4,7,"June 19th, 2024","Binance,Order-in-Original No. 10/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/Binance_Order_10_2024.pdf,Binance_Order_10_2024.pdf,438KB,2025-12-15T10:34:39.808550
a2d97f65ae00f2dbf1b99360d3148a35d886609e,8,"June 3rd, 2024","Axis Bank Ltd.,Order-in-Original No. 09/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/ABL_Order_09_2024.pdf,ABL_Order_09_2024.pdf,908KB,2025-12-15T10:34:39.808614
0afc8ca1e5d9d9d230434ddc9bedfe86b4c9071b,9,"March 22nd, 2024","Peken Global Ltd.(Kucoin),Order-in-Original No. 08/DIR/FIU-IND/2024",https://fiuindia.gov.in/pdfs/judgements/PGL_Order_08_2024.pdf,PGL_Order_08_2024.pdf,352KB,2025-12-15T10:34:39.808678
